frequency,FFTpower
30.27882,1.03E-09
30.32628,1.92E-09
30.37374,6.49E-09
30.4212,8.34E-09
30.46866,1.13E-08
30.51612,2.95E-09
30.56358,1.76E-10
30.61103,5.01E-09
30.65849,1.79E-09
30.70595,5.13E-09
30.75341,2.67E-09
30.80087,5.95E-09
30.84833,3.85E-09
30.89579,3.69E-09
30.94325,3.41E-09
30.99071,4.99E-09
31.03816,1.58E-09
31.08562,1.82E-10
31.13308,4.45E-09
31.18054,1.03E-08
31.228,3.64E-09
31.27546,2.23E-09
31.32292,3.87E-09
31.37038,1.41E-09
31.41784,4.40E-09
31.4653,1.44E-10
31.51275,2.33E-10
31.56021,2.82E-09
31.60767,3.43E-10
31.65513,3.97E-09
31.70259,1.13E-09
31.75005,2.01E-09
31.79751,1.96E-08
31.84497,1.77E-09
31.89243,2.17E-09
31.93989,1.15E-08
31.98734,5.74E-10
32.0348,2.01E-08
32.08226,1.08E-09
32.12972,1.69E-09
32.17718,7.61E-09
32.22464,4.79E-10
32.2721,2.00E-09
32.31956,1.21E-09
32.36702,1.06E-08
32.41447,3.72E-09
32.46193,4.90E-09
32.50939,7.92E-09
32.55685,4.50E-09
32.60431,1.93E-09
32.65177,1.24E-09
32.69923,9.11E-10
32.74669,1.39E-09
32.79415,4.10E-09
32.84161,5.64E-09
32.88906,3.61E-09
32.93652,9.80E-09
32.98398,4.23E-09
33.03144,4.05E-10
33.0789,7.20E-10
33.12636,3.54E-10
33.17382,3.66E-09
33.22128,5.15E-09
33.26874,2.53E-09
33.3162,4.12E-09
33.36365,3.31E-09
33.41111,1.40E-08
33.45857,7.08E-09
33.50603,3.51E-09
33.55349,1.39E-09
33.60095,2.38E-09
33.64841,5.96E-10
33.69587,6.88E-09
33.74333,1.31E-09
33.79079,7.07E-09
33.83824,8.07E-09
33.8857,1.28E-09
33.93316,9.94E-10
33.98062,7.51E-09
34.02808,1.26E-09
34.07554,1.46E-10
34.123,1.39E-09
34.17046,3.79E-09
34.21792,6.49E-09
34.26537,1.24E-08
34.31283,1.53E-09
34.36029,1.05E-09
34.40775,9.48E-10
34.45521,2.21E-10
34.50267,4.29E-10
34.55013,5.29E-09
34.59759,1.08E-08
34.64505,2.92E-09
34.69251,7.74E-10
34.73996,1.05E-09
34.78742,6.88E-09
34.83488,1.34E-09
34.88234,3.26E-10
34.9298,2.16E-09
34.97726,2.08E-09
35.02472,1.98E-09
35.07218,1.17E-09
35.11964,4.19E-09
35.1671,6.18E-09
35.21455,2.33E-09
35.26201,3.75E-09
35.30947,2.94E-09
35.35693,1.21E-09
35.40439,2.23E-09
35.45185,1.53E-08
35.49931,2.23E-09
35.54677,9.72E-09
35.59423,2.31E-09
35.64168,1.12E-09
