file,id,type,date,displaydateDOY,hour,minute,timeH,temperatureC,DewpointC +/- 0.2,relative humidity (%),boutID,sample,freq,eyespots,rectrixL,trainL,traindate,displaydate,traindateDOY
GOPR2019,caf road,male,3/22/15,81,10,22,10.36666667,17.8,11.7,67.5,caf_ road_GOPR2019,pre,23.73861386,141,48.8,123,21,22,80
GOPR0348,celebration,male,03-12-15,71,17,54,17.9,29.4,1.2,16.3,celebration_GOPR0348,peak,26.94,149,54.6,151,11,12,70
GOPR0348,celebration,male,03-12-15,71,17,54,17.9,29.4,1.2,16.3,celebration_GOPR0348,post,27.24545,149,54.6,151,11,12,70
GOPR0348,celebration,male,03-12-15,71,17,54,17.9,29.4,1.2,16.3,celebration_GOPR0348,pre,26.06087,149,54.6,151,11,12,70
GOPR1687,celebration,male,3/19/15,78,10,47,10.78333333,20.6,12.6,60.2,celebration_GOPR1687,peak,26.06,149,54.6,151,11,19,70
GOPR1687,celebration,male,3/19/15,78,10,47,10.78333333,20.6,12.6,60.2,celebration_GOPR1687,post,25.23789,149,54.6,151,11,19,70
GOPR1687,celebration,male,3/19/15,78,10,47,10.78333333,20.6,12.6,60.2,celebration_GOPR1687,pre,24.71753,149,54.6,151,11,19,70
GOPR1690,celebration,male,3/19/15,78,10,50,10.83333333,20.6,12.6,60.2,celebration_GOPR1690,peak,26.94,149,54.6,151,11,19,70
GOPR1690,celebration,male,3/19/15,78,10,50,10.83333333,20.6,12.6,60.2,celebration_GOPR1690,post,24.46531,149,54.6,151,11,19,70
GOPR1690,celebration,male,3/19/15,78,10,50,10.83333333,20.6,12.6,60.2,celebration_GOPR1690,pre,25.23789,149,54.6,151,11,19,70
GOPR1385,crossroads,male,3/14/15,73,16,58,16.96666667,31.7,-0.63,12.5,crossroads_GOPR1385,peak,26.06,157,44.4,126,20,14,79
GOPR1385,crossroads,male,3/14/15,73,16,58,16.96666667,31.7,-0.63,12.5,crossroads_GOPR1385,post,26.34725,157,44.4,126,20,14,79
GOPR1385,crossroads,male,3/14/15,73,16,58,16.96666667,31.7,-0.63,12.5,crossroads_GOPR1385,pre,27.87907,157,44.4,126,20,14,79
GOPR1768,crossroads,male,3/20/15,79,9,19,9.316666667,18.9,11.2,61,crossroads_GOPR1768,peak,25.51,157,44.4,126,20,20,79
GOPR1768,crossroads,male,3/20/15,79,9,19,9.316666667,18.9,11.2,61,crossroads_GOPR1768,post,23.50588,157,44.4,126,20,20,79
GOPR1768,crossroads,male,3/20/15,79,9,19,9.316666667,18.9,11.2,61,crossroads_GOPR1768,pre,24.71753,157,44.4,126,20,20,79
GOPR1771,crossroads,male,3/20/15,79,9,23,9.383333333,18.9,11.2,61,crossroads_GOPR1771,peak,25.51,157,44.4,126,20,20,79
GOPR1771,crossroads,male,3/20/15,79,9,23,9.383333333,18.9,11.2,61,crossroads_GOPR1771,post,23.05385,157,44.4,126,20,20,79
GOPR1771,crossroads,male,3/20/15,79,9,23,9.383333333,18.9,11.2,61,crossroads_GOPR1771,pre,25.23789,157,44.4,126,20,20,79
GOPR1338,crossroads roof,male,3/14/15,NA,8,34,8.566666667,22.2,2.5,27.4,crossroads roof_GOPR1338,peak,26.64,NA,NA,NA,NA,NA,NA
GOPR1338,crossroads roof,male,3/14/15,NA,8,34,8.566666667,22.2,2.5,27.4,crossroads roof_GOPR1338,post,27.24545455,NA,NA,NA,NA,NA,NA
GOPR1338,crossroads roof,male,3/14/15,NA,8,34,8.566666667,22.2,2.5,27.4,crossroads roof_GOPR1338,pre,26.64,NA,NA,NA,NA,NA,NA
